     Time        Name            Data       
     5.001760    VN1600_2::AIN   0.686400   
     5.101762    VN1600_2::AIN   0.686400   
     5.201764    VN1600_2::AIN   0.686400   
     5.301765    VN1600_2::AIN   0.668800   
     5.401767    VN1600_2::AIN   0.686400   
     5.501768    VN1600_2::AIN   0.686400   
     5.601770    VN1600_2::AIN   0.704000   
     5.701771    VN1600_2::AIN   0.686400   
     5.801773    VN1600_2::AIN   0.686400   
     5.901775    VN1600_2::AIN   0.704000   
     6.001776    VN1600_2::AIN   0.668800   
     6.101778    VN1600_2::AIN   0.686400   
     6.201779    VN1600_2::AIN   0.668800   
     6.301781    VN1600_2::AIN   0.686400   
     6.401782    VN1600_2::AIN   0.686400   
     6.501784    VN1600_2::AIN   0.686400   
     6.601786    VN1600_2::AIN   0.686400   
     6.701787    VN1600_2::AIN   0.686400   
     6.801789    VN1600_2::AIN   0.686400   
     6.901790    VN1600_2::AIN   0.686400   
     7.001792    VN1600_2::AIN   0.686400   
     7.101793    VN1600_2::AIN   0.686400   
     7.201795    VN1600_2::AIN   0.686400   
     7.301796    VN1600_2::AIN   0.704000   
     7.401798    VN1600_2::AIN   0.686400   
     7.501799    VN1600_2::AIN   0.704000   
     7.601801    VN1600_2::AIN   0.686400   
     7.701803    VN1600_2::AIN   0.704000   
     7.801804    VN1600_2::AIN   0.686400   
     7.901806    VN1600_2::AIN   0.686400   
     8.001807    VN1600_2::AIN   0.668800   
     8.101809    VN1600_2::AIN   0.686400   
     8.201810    VN1600_2::AIN   0.686400   
     8.301812    VN1600_2::AIN   0.686400   
     8.401813    VN1600_2::AIN   0.668800   
     8.501815    VN1600_2::AIN   0.686400   
     8.601817    VN1600_2::AIN   0.686400   
     8.701818    VN1600_2::AIN   0.668800   
     8.801820    VN1600_2::AIN   0.686400   
     8.901821    VN1600_2::AIN   0.686400   
     9.001823    VN1600_2::AIN   0.686400   
     9.101824    VN1600_2::AIN   0.686400   
     9.201826    VN1600_2::AIN   0.686400   
     9.301827    VN1600_2::AIN   0.704000   
     9.401829    VN1600_2::AIN   0.686400   
     9.501830    VN1600_2::AIN   0.686400   
     9.601832    VN1600_2::AIN   0.686400   
     9.701834    VN1600_2::AIN   0.686400   
     9.801835    VN1600_2::AIN   0.686400   
     9.901837    VN1600_2::AIN   0.686400   
     10.001838   VN1600_2::AIN   0.686400   
     10.101840   VN1600_2::AIN   0.686400   
     10.201841   VN1600_2::AIN   0.686400   
     10.301843   VN1600_2::AIN   0.686400   
     10.401844   VN1600_2::AIN   0.686400   
     10.501846   VN1600_2::AIN   0.686400   
     10.601847   VN1600_2::AIN   0.686400   
     10.701849   VN1600_2::AIN   0.686400   
     10.801850   VN1600_2::AIN   0.686400   
     10.901852   VN1600_2::AIN   0.686400   
     11.001853   VN1600_2::AIN   0.686400   
     11.101855   VN1600_2::AIN   0.686400   
     11.201856   VN1600_2::AIN   0.704000   
     11.301858   VN1600_2::AIN   0.686400   
     11.401859   VN1600_2::AIN   0.686400   
     11.501861   VN1600_2::AIN   0.686400   
     11.601863   VN1600_2::AIN   0.686400   
     11.701864   VN1600_2::AIN   0.686400   
     11.801866   VN1600_2::AIN   0.686400   
     11.901867   VN1600_2::AIN   0.686400   
     12.001869   VN1600_2::AIN   0.686400   
     12.101871   VN1600_2::AIN   0.686400   
     12.201872   VN1600_2::AIN   0.686400   
     12.301874   VN1600_2::AIN   0.686400   
     12.401875   VN1600_2::AIN   0.686400   
     12.501877   VN1600_2::AIN   0.686400   
     12.601879   VN1600_2::AIN   0.686400   
     12.701880   VN1600_2::AIN   0.686400   
     12.801882   VN1600_2::AIN   0.686400   
     12.901883   VN1600_2::AIN   0.686400   
     13.001885   VN1600_2::AIN   0.686400   
     13.101886   VN1600_2::AIN   0.686400   
     13.201888   VN1600_2::AIN   0.686400   
     13.301890   VN1600_2::AIN   0.686400   
     13.401891   VN1600_2::AIN   0.686400   
     13.501893   VN1600_2::AIN   0.686400   
     13.601894   VN1600_2::AIN   0.686400   
     13.701896   VN1600_2::AIN   0.686400   
     13.801897   VN1600_2::AIN   0.686400   
     13.901899   VN1600_2::AIN   0.668800   
     14.001900   VN1600_2::AIN   0.686400   
     14.101902   VN1600_2::AIN   0.686400   
     14.201903   VN1600_2::AIN   0.686400   
     14.301905   VN1600_2::AIN   0.686400   
     14.401906   VN1600_2::AIN   0.668800   
     14.501908   VN1600_2::AIN   0.686400   
     14.601909   VN1600_2::AIN   0.686400   
     14.701911   VN1600_2::AIN   0.686400   
     14.801912   VN1600_2::AIN   0.668800   
     14.901914   VN1600_2::AIN   0.686400   
